A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG
3983,78,16,142,78,78,38,50,141,225,139,82,145,95,10,13,0,2,0,2,1,0,0,0,0,2,2,1,1,2,1,1,0
3984,35,23,104,79,100,39,63,171,268,180,84,214,115,10,13,0,1,2,1,2,1,0,0,2,1,2,1,1,4,1,1,1
3985,44,40,139,82,91,40,114,189,131,97,78,135,82,6,25,0,2,0,2,1,0,0,1,2,0,0,2,1,0,1,1,0
3986,72,28,160,113,78,40,83,170,279,183,90,181,103,4,13,1,1,2,0,2,0,0,1,0,1,2,1,1,4,1,1,1
3987,71,18,164,118,115,39,90,200,232,56,89,62,131,9,19,1,2,0,2,2,0,0,0,0,2,0,2,1,3,0,0,0
3988,38,18,127,99,66,35,56,150,294,93,53,119,120,5,23,1,2,2,1,2,0,0,1,1,2,2,1,1,4,1,1,0
3989,61,35,129,84,80,37,109,176,165,110,68,142,110,8,18,0,2,2,2,2,0,0,1,0,1,2,1,1,2,1,1,0
3990,22,29,155,74,101,35,47,143,177,135,90,235,124,6,20,0,2,2,1,0,0,0,0,2,1,0,2,1,3,0,0,0
3991,58,22,128,97,88,37,118,173,279,97,52,179,97,9,14,1,2,0,2,1,0,0,1,1,0,0,2,1,3,0,0,0
3992,76,40,163,82,109,36,113,198,225,110,68,237,130,9,12,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
3993,71,18,106,111,100,39,67,155,276,146,40,138,76,6,17,0,2,0,2,2,0,1,1,0,2,2,1,1,4,1,1,0
3994,39,30,96,61,65,40,118,170,128,180,71,209,71,7,20,0,2,2,2,2,1,1,0,0,2,1,0,0,0,1,0,0
3995,82,35,128,116,63,40,51,164,265,51,54,112,71,8,24,1,0,0,2,0,1,1,1,0,2,1,0,0,0,1,0,0
3996,81,18,157,116,91,40,82,178,169,93,63,109,97,9,12,1,2,2,2,1,0,0,0,0,1,1,0,0,1,0,0,0
3997,88,30,124,74,100,39,76,147,235,68,51,203,123,6,12,0,2,2,2,2,0,0,0,2,2,1,0,0,1,0,0,0
3998,21,36,140,111,73,39,102,147,286,99,31,199,127,7,15,1,0,0,2,2,0,0,0,2,2,1,0,0,0,1,0,0
3999,82,26,136,103,92,37,102,173,154,69,80,123,116,10,21,0,1,2,2,2,1,0,0,0,1,0,2,1,0,1,1,1
4000,32,30,125,94,68,40,49,154,209,106,45,181,130,10,12,0,2,2,0,0,0,0,1,2,2,0,2,1,0,1,1,0
4001,39,33,153,69,110,35,117,144,101,162,40,193,109,7,20,0,2,1,2,0,0,0,0,0,0,0,2,1,3,0,0,0
4002,64,22,178,73,112,37,119,158,253,99,98,112,87,4,17,0,0,0,0,2,0,1,1,0,2,0,2,1,3,0,0,0
4003,63,20,102,86,75,40,76,149,162,144,91,219,83,9,16,0,2,0,2,0,1,0,1,0,2,0,2,1,3,0,0,0
4004,31,24,107,113,84,39,50,148,116,154,48,210,94,8,22,1,2,2,0,0,1,1,0,0,1,0,2,1,0,1,1,0
4005,67,19,110,73,116,39,58,196,158,156,58,190,79,8,16,0,2,0,1,2,1,1,0,0,1,0,2,1,0,1,1,0
4006,37,32,154,94,105,39,91,193,187,142,71,95,117,10,22,1,0,2,0,1,0,1,1,0,2,0,2,1,3,0,0,0
4007,67,24,97,92,89,40,57,168,115,53,52,190,117,6,22,1,2,2,2,2,0,0,1,2,1,0,2,1,3,0,0,0
4008,50,24,137,111,78,39,71,191,157,187,89,82,130,10,22,0,1,2,0,1,1,0,0,0,2,1,0,0,1,0,0,1
4009,76,21,174,60,55,36,62,179,291,112,47,172,122,4,23,0,2,3,2,2,0,0,0,0,1,1,0,0,0,1,0,0
4010,60,32,132,93,101,39,51,176,149,106,84,63,78,5,23,0,1,2,1,2,0,0,1,0,1,1,0,0,1,0,0,1
4011,29,15,142,78,50,40,97,158,253,154,47,57,80,6,13,0,1,1,1,1,1,0,0,1,2,0,2,1,0,1,1,1
4012,57,21,174,83,101,37,116,152,116,114,56,135,96,7,14,1,2,2,3,1,0,0,1,1,1,2,1,1,4,1,1,0
4013,37,35,116,101,73,39,60,198,213,189,30,223,128,5,23,1,2,1,2,2,1,0,0,1,1,2,1,1,4,1,1,0
4014,55,15,108,63,83,38,60,185,145,111,43,175,127,5,18,1,0,3,2,1,0,0,0,2,1,2,1,1,2,1,1,0
4015,20,29,112,95,56,36,68,179,205,179,88,178,82,9,15,1,2,1,2,2,0,0,1,0,1,0,2,1,3,0,0,0
4016,45,18,139,72,60,40,118,155,226,175,62,108,134,6,25,0,0,3,3,0,1,0,1,1,2,0,2,1,3,0,0,0
4017,73,34,140,117,85,39,86,169,295,193,65,109,80,9,17,1,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,0
4018,30,24,132,91,69,38,51,199,149,195,68,98,126,4,19,0,2,0,2,2,1,0,1,0,2,1,0,0,0,1,0,0
4019,83,37,140,68,112,40,97,193,270,78,74,129,136,8,25,0,0,0,2,0,0,1,0,0,0,2,1,1,2,1,1,0
4020,54,23,158,98,112,37,80,144,217,100,54,142,135,4,12,0,0,0,2,2,0,0,0,2,2,1,0,0,0,1,0,0
4021,66,16,130,75,118,36,58,172,275,63,44,110,93,6,22,0,0,2,2,1,0,0,0,2,2,1,0,0,0,1,0,0
4022,83,28,161,109,79,39,51,158,167,143,49,165,118,8,24,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1
4023,53,30,100,62,79,37,62,194,246,107,63,72,109,5,17,1,0,2,2,2,1,1,1,1,0,0,2,1,3,0,0,0
4024,71,15,169,111,71,40,44,158,252,186,87,182,139,10,12,0,1,2,2,2,0,0,0,2,2,1,0,0,0,1,0,1
4025,43,16,177,79,110,38,65,156,299,177,89,134,71,10,23,1,2,2,2,1,1,0,1,0,1,2,1,1,4,1,1,0
4026,89,21,174,69,70,40,102,163,245,86,59,169,123,7,23,1,2,2,0,1,0,0,0,0,1,0,2,1,0,1,1,0
4027,57,24,141,115,86,40,91,194,150,152,42,177,84,9,23,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
4028,60,36,112,117,76,36,49,192,245,61,96,99,117,4,19,1,2,0,0,2,0,1,0,0,0,0,2,1,0,1,1,0
4029,39,34,138,117,84,39,78,167,211,134,74,213,123,9,15,0,2,0,0,1,0,1,0,2,1,2,1,1,2,1,1,0
4030,37,15,127,81,87,37,62,181,285,188,69,197,115,9,16,1,2,0,3,0,0,1,0,2,1,0,2,1,3,0,0,0
4031,25,27,136,107,109,36,50,176,163,76,67,92,126,10,21,0,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,1
4032,46,15,161,62,119,38,111,161,298,137,76,185,124,8,13,0,2,3,0,2,0,0,1,0,1,0,2,1,0,1,1,0
4033,57,19,96,70,81,39,87,178,284,147,58,218,129,4,14,0,2,1,2,1,1,0,0,2,2,1,0,0,0,1,0,0
4034,47,30,155,84,76,36,55,155,244,69,63,74,99,8,18,0,2,1,2,0,1,0,0,0,0,2,1,1,2,1,1,0
4035,72,29,166,101,52,38,85,200,158,190,40,165,97,7,18,0,1,2,2,0,0,0,1,0,0,2,1,1,4,1,1,1
4036,33,31,151,107,98,38,86,174,294,96,49,56,121,9,25,1,1,3,2,1,0,0,1,0,0,1,0,0,1,0,0,1
4037,63,37,176,67,79,37,87,166,242,57,49,164,110,6,23,1,1,3,2,1,0,0,0,0,2,2,1,1,2,1,1,1
4038,79,30,118,68,71,40,119,151,199,120,85,135,90,10,22,1,0,2,3,2,0,1,1,0,2,2,1,1,4,1,1,0
4039,24,27,127,74,68,38,108,185,125,113,52,238,111,6,19,0,2,2,2,2,0,0,0,0,1,1,0,0,1,0,0,0
4040,62,25,173,91,80,38,64,167,275,93,54,210,82,8,24,0,2,0,1,1,0,0,0,2,1,1,0,0,0,1,0,0
4041,76,31,122,112,69,40,116,191,113,61,62,246,114,8,14,1,2,2,0,0,0,0,0,2,2,2,1,1,4,1,1,0
4042,73,31,118,62,68,35,120,140,221,154,60,87,123,6,13,1,2,0,2,2,0,0,1,1,1,1,0,0,0,1,0,0
4043,65,16,168,63,51,38,76,178,108,53,30,61,88,5,13,0,2,0,2,2,0,0,1,0,2,2,1,1,4,1,1,0
4044,44,27,112,89,89,39,102,197,106,89,83,173,96,10,17,1,1,3,1,2,0,0,1,2,1,0,2,1,3,0,0,1
4045,70,28,92,72,88,36,68,157,282,196,45,93,109,5,13,0,2,1,2,2,1,1,1,2,1,0,2,1,0,1,1,0
4046,90,25,134,103,103,40,97,162,239,50,88,102,76,10,22,1,2,2,1,2,0,1,1,0,1,0,2,1,0,1,1,0
4047,52,24,97,80,76,40,70,161,244,168,95,63,94,5,15,0,0,2,2,2,0,0,0,2,1,0,2,1,0,1,1,0
4048,68,17,175,100,61,40,107,143,300,190,32,248,118,10,20,0,1,1,2,2,0,0,0,2,1,2,1,1,4,1,1,1
4049,54,31,118,116,120,39,80,187,207,99,44,141,105,7,21,1,0,1,1,2,0,1,0,0,0,2,1,1,2,1,1,0
4050,74,29,91,105,66,40,89,150,235,158,61,101,140,8,14,0,1,3,3,1,0,0,1,0,1,1,0,0,0,1,0,1
4051,25,23,139,78,59,39,83,157,190,93,79,229,93,4,12,0,2,2,2,2,0,0,0,0,2,0,2,1,3,0,0,0
4052,37,24,154,98,68,37,48,194,223,158,89,95,130,4,13,0,1,0,0,2,0,0,1,1,1,0,2,1,3,0,0,1
4053,70,22,109,107,79,35,98,187,269,147,37,218,138,8,21,0,0,0,1,0,0,0,0,0,2,0,2,1,0,1,1,0
4054,29,35,141,81,79,40,66,146,264,130,36,179,121,6,24,1,2,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0
4055,66,27,174,79,74,35,98,160,247,198,33,226,105,8,21,0,2,2,2,2,0,1,0,1,0,0,2,1,3,0,0,0
4056,34,32,126,96,115,40,42,196,100,125,39,149,120,5,18,1,2,2,3,0,1,1,1,2,1,0,2,1,0,1,1,0
4057,81,19,161,90,84,39,46,174,108,129,89,159,102,5,20,0,2,2,2,1,0,0,0,1,0,0,2,1,3,0,0,0
4058,59,20,116,69,100,36,55,196,210,101,54,77,122,4,20,1,1,2,3,2,1,0,1,0,2,0,2,1,0,1,1,1
4059,46,31,136,77,120,35,88,176,123,112,71,160,107,8,15,0,1,2,0,1,0,0,0,2,2,0,2,1,0,1,1,1
4060,36,25,95,102,120,35,71,189,224,133,76,81,113,4,19,1,0,2,0,0,0,0,1,2,2,1,0,0,0,1,0,0
4061,28,34,149,98,76,39,83,196,261,187,61,141,74,6,12,1,2,0,0,2,1,0,0,0,2,2,1,1,4,1,1,0
4062,67,30,134,105,59,35,58,169,135,136,54,125,100,9,22,0,2,2,0,2,0,1,0,1,2,1,0,0,0,1,0,0
4063,88,23,133,79,92,37,42,156,103,160,45,71,78,9,22,0,2,1,0,0,1,0,0,2,2,0,2,1,3,0,0,0
4064,75,16,172,77,104,39,99,172,256,108,78,219,101,9,25,0,1,3,0,0,0,0,1,0,2,1,0,0,0,1,0,1
4065,51,19,107,70,120,35,74,155,186,57,45,161,110,7,17,0,0,2,2,2,1,1,0,0,1,1,0,0,1,0,0,0
4066,37,15,154,81,55,35,68,154,243,100,67,206,74,10,25,0,0,0,3,2,0,1,1,0,0,1,0,0,0,1,0,0
4067,67,18,114,118,55,35,114,152,107,182,34,153,120,7,19,0,2,2,2,2,0,1,1,2,1,2,1,1,4,1,1,0
4068,27,18,116,103,97,39,109,178,190,125,36,117,123,6,13,1,2,2,0,1,0,1,0,0,2,2,1,1,4,1,1,0
4069,49,36,96,77,51,36,84,142,138,127,37,210,97,5,19,0,2,3,0,2,0,1,1,0,2,2,1,1,2,1,1,0
4070,69,40,133,117,100,38,66,163,157,173,62,223,112,5,15,1,2,1,0,0,0,0,1,0,2,1,0,0,0,1,0,0
4071,32,39,118,93,110,40,108,162,239,61,91,186,81,5,13,0,2,0,0,2,0,0,0,2,2,2,1,1,4,1,1,0
4072,20,17,133,82,68,35,74,198,271,73,61,87,138,4,15,1,2,0,2,0,0,0,1,0,0,0,2,1,3,0,0,0
4073,54,23,125,60,51,38,58,184,103,94,30,129,86,10,19,0,0,1,0,1,1,0,0,0,1,0,2,1,3,0,0,0
4074,57,36,108,114,100,38,56,187,124,102,49,75,77,9,24,0,2,2,2,1,1,0,1,2,1,2,1,1,2,1,1,0
4075,89,37,95,69,75,35,74,194,297,194,84,92,87,4,15,0,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0
4076,57,26,114,112,119,35,116,140,166,167,92,230,79,7,24,0,1,2,0,2,1,0,1,0,1,0,2,1,3,0,0,1
4077,73,24,120,60,69,40,117,171,266,86,35,76,108,5,25,0,1,1,0,1,1,0,0,2,0,1,0,0,0,1,0,1
4078,40,16,98,97,72,38,69,172,217,124,81,60,110,5,19,1,2,2,0,2,1,1,0,2,2,0,2,1,3,0,0,0
4079,28,25,173,98,103,36,87,199,123,128,31,156,113,10,18,0,1,1,1,0,0,0,0,1,2,1,0,0,0,1,0,1
4080,81,24,163,108,64,38,96,187,105,72,68,203,138,9,16,1,2,1,2,2,0,0,0,1,2,0,2,1,3,0,0,0
4081,25,36,126,68,55,36,56,169,196,200,61,127,112,10,19,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
4082,73,20,116,90,84,37,54,141,171,98,80,106,116,6,13,1,2,2,1,2,1,0,1,2,2,2,1,1,4,1,1,0
4083,77,32,102,66,57,36,53,157,260,177,98,50,117,7,14,0,1,2,2,2,0,0,0,2,2,0,2,1,0,1,1,1
4084,27,16,130,76,106,40,53,198,275,184,61,60,88,9,15,1,0,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0
4085,56,16,155,94,99,39,84,192,294,86,32,207,90,4,21,0,1,1,0,0,1,0,1,0,1,2,1,1,4,1,1,1
4086,45,24,174,107,98,35,77,196,223,193,91,137,72,7,16,1,0,2,1,1,0,0,0,0,1,2,1,1,4,1,1,0
4087,66,30,113,96,70,37,102,194,101,87,42,181,125,9,16,1,1,1,0,2,0,0,1,0,0,2,1,1,2,1,1,1
4088,53,26,133,111,85,38,114,169,137,148,99,135,112,5,12,1,2,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0
4089,30,15,149,77,120,36,50,157,139,78,50,159,70,5,12,1,0,1,1,1,0,0,0,2,0,0,2,1,0,1,1,0
4090,53,35,98,92,118,37,87,144,155,152,90,121,105,4,23,1,0,1,2,2,0,0,0,2,0,2,1,1,2,1,1,0
4091,43,22,91,63,107,39,65,144,202,194,43,160,75,10,22,0,0,1,3,2,1,0,0,0,0,1,0,0,0,1,0,0
4092,21,30,145,82,112,36,106,147,202,197,100,82,115,4,12,1,0,2,2,0,1,0,0,1,2,1,0,0,0,1,0,0
4093,81,32,119,70,65,40,64,148,120,159,51,210,92,7,25,1,2,3,0,1,0,0,1,0,1,0,2,1,0,1,1,0
4094,55,27,111,111,55,38,120,171,214,109,61,123,89,8,25,1,2,1,1,2,1,1,1,2,1,1,0,0,0,1,0,0
4095,39,29,164,68,101,38,100,195,134,112,70,115,122,5,16,1,2,0,0,1,0,1,0,0,1,0,2,1,3,0,0,0
4096,19,35,170,89,51,36,65,153,166,88,61,157,107,5,13,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
4097,48,26,102,67,67,39,73,152,287,175,71,53,104,8,14,1,0,0,3,0,1,1,1,0,2,0,2,1,3,0,0,0
4098,28,22,160,99,84,35,48,157,250,132,81,228,103,7,19,1,2,3,0,2,0,0,1,2,1,1,0,0,0,1,0,0
4099,63,24,105,64,88,35,79,143,292,70,83,204,119,6,23,1,2,3,0,2,0,1,1,2,2,2,1,1,2,1,1,0
4100,79,28,134,71,50,38,114,189,290,81,91,82,116,6,21,0,2,0,2,2,0,0,1,0,1,0,2,1,0,1,1,0
4101,86,19,154,60,86,39,46,161,250,77,72,154,105,5,19,1,0,1,0,1,0,1,0,2,1,0,2,1,3,0,0,0
4102,81,32,100,74,70,38,69,159,222,152,32,175,85,6,23,1,1,2,1,1,1,1,1,2,2,0,2,1,3,0,0,1
4103,27,33,159,84,50,35,105,154,141,61,67,133,118,10,21,0,1,0,1,2,0,0,1,0,0,0,2,1,0,1,1,1
4104,57,29,109,77,53,38,69,146,291,170,68,126,134,7,13,0,0,2,0,2,0,0,0,0,0,0,2,1,3,0,0,0
4105,41,20,152,97,107,36,107,152,293,160,99,132,132,6,19,1,2,2,1,2,0,0,1,0,0,0,2,1,3,0,0,0
4106,61,25,179,101,50,40,97,173,180,128,74,81,121,4,22,0,2,2,2,2,0,0,0,0,2,1,0,0,1,0,0,0
4107,77,35,101,105,62,36,94,180,140,141,75,244,129,7,23,0,0,2,2,2,0,0,1,0,0,2,1,1,4,1,1,0
4108,79,25,151,112,95,40,53,169,213,169,42,165,86,8,20,1,0,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0
4109,34,34,180,85,96,39,116,144,119,134,81,205,136,5,21,0,1,1,3,2,0,0,1,0,0,2,1,1,4,1,1,1
4110,82,34,131,120,56,35,116,140,108,129,38,234,107,7,25,0,1,3,3,2,0,1,1,0,2,1,0,0,1,0,0,1
4111,74,35,172,99,100,39,116,199,156,200,86,68,98,6,21,0,2,0,0,2,1,1,0,0,1,0,2,1,3,0,0,0
4112,72,32,158,118,52,39,76,170,223,64,98,208,100,7,17,0,2,1,2,1,0,0,1,0,0,2,1,1,2,1,1,0
4113,70,39,147,62,99,35,83,198,244,150,72,102,128,9,12,1,2,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0
4114,73,32,94,113,75,37,45,190,177,61,36,137,123,8,22,0,0,0,2,1,1,0,0,0,0,2,1,1,2,1,1,0
4115,26,24,116,81,80,37,65,159,117,181,73,209,122,9,22,0,2,1,2,0,0,0,0,0,1,2,1,1,2,1,1,0
4116,39,16,117,85,111,38,53,158,162,84,73,58,95,7,14,1,2,0,2,1,0,0,0,2,2,2,1,1,2,1,1,0
4117,30,40,115,78,75,37,47,193,299,144,97,228,82,8,16,1,0,2,2,2,0,0,0,0,0,1,0,0,0,1,0,0
4118,65,23,180,103,116,36,63,168,192,76,73,132,126,8,24,0,2,0,2,2,1,1,1,2,1,0,2,1,0,1,1,0
4119,35,28,138,103,104,40,78,184,299,174,69,200,88,7,14,1,1,2,1,2,0,0,0,2,2,1,0,0,0,1,0,1
4120,57,33,110,106,77,39,88,177,125,62,72,74,96,5,14,0,2,3,2,1,0,0,0,1,1,1,0,0,1,0,0,0
4121,34,24,90,119,93,38,102,149,299,51,91,223,82,10,20,0,2,3,2,1,0,0,0,0,1,2,1,1,2,1,1,0
4122,32,37,147,98,87,39,65,168,183,86,72,221,121,5,16,0,0,2,2,2,0,1,1,0,1,0,2,1,0,1,1,0
4123,32,18,168,118,79,35,49,170,299,163,48,243,133,6,25,0,2,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0
4124,80,20,144,95,115,37,116,150,112,169,78,167,127,9,19,1,2,0,0,2,0,1,1,2,2,0,2,1,3,0,0,0
4125,56,28,170,80,57,35,97,162,218,118,94,116,88,7,18,1,2,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0
4126,30,18,115,100,63,38,53,169,244,67,54,176,72,9,15,0,2,3,2,1,1,1,1,2,1,1,0,0,0,1,0,0
4127,49,40,173,113,111,40,112,164,214,97,70,205,136,9,14,1,2,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0
4128,26,29,114,107,112,36,110,155,125,130,52,127,95,7,14,1,2,2,2,2,0,0,1,0,1,2,1,1,2,1,1,0
4129,57,30,166,85,115,37,78,197,233,115,87,201,75,4,22,0,2,0,1,0,0,1,0,2,1,0,2,1,3,0,0,0
4130,37,21,122,72,89,35,70,196,180,155,72,105,82,5,13,1,0,0,2,2,0,1,1,0,1,2,1,1,2,1,1,0
4131,90,31,178,95,62,40,89,162,231,107,69,99,96,8,16,0,2,2,2,2,0,0,0,0,2,0,2,1,3,0,0,0
4132,80,33,161,83,66,37,55,198,188,127,59,150,79,4,23,1,2,0,2,2,0,0,0,0,1,2,1,1,4,1,1,0
4133,61,33,158,100,64,39,111,172,106,56,63,52,85,7,13,1,0,2,2,1,0,0,1,0,1,1,0,0,0,1,0,0
4134,55,31,95,85,82,36,90,190,116,152,39,72,92,4,13,0,2,1,2,2,0,1,0,0,0,0,2,1,3,0,0,0
4135,77,20,112,80,65,40,54,176,185,158,89,211,116,5,23,0,2,0,2,1,0,0,0,1,0,0,2,1,0,1,1,0
4136,88,25,119,77,62,37,77,197,227,58,30,58,81,7,23,0,2,2,1,2,0,1,0,2,0,0,2,1,3,0,0,0
4137,65,30,167,74,72,36,118,167,217,118,41,131,97,9,23,0,2,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0
4138,35,39,143,74,85,40,110,166,191,181,75,108,87,9,15,1,2,2,2,2,1,0,1,0,2,0,2,1,3,0,0,0
4139,33,22,176,65,92,39,111,145,149,182,46,115,127,5,17,1,2,2,1,1,1,0,1,0,1,0,2,1,0,1,1,0
4140,72,25,100,102,99,39,60,177,227,105,87,199,71,4,23,1,0,3,3,2,0,0,1,1,2,0,2,1,3,0,0,0
4141,56,21,120,90,62,35,55,176,105,105,67,164,115,6,17,1,2,0,2,2,0,1,1,0,0,2,1,1,2,1,1,0
4142,85,40,95,87,79,38,106,145,257,93,35,84,86,10,19,0,1,2,2,1,1,0,1,0,1,1,0,0,1,0,0,1
4143,76,38,100,67,106,35,104,164,173,121,91,208,133,8,22,1,2,1,0,2,0,1,1,0,1,1,0,0,0,1,0,0
4144,79,36,166,88,79,36,52,152,155,190,39,127,134,8,17,1,2,1,2,1,0,0,0,0,2,2,1,1,4,1,1,0
4145,30,39,101,80,120,35,103,172,138,181,55,158,123,10,17,0,0,1,0,2,1,0,0,0,1,0,2,1,0,1,1,0
4146,23,33,155,76,59,40,100,172,241,64,87,97,112,10,15,0,0,1,2,2,1,0,1,2,2,2,1,1,4,1,1,0
4147,77,40,142,115,115,37,71,164,153,169,46,102,124,6,23,1,2,1,2,2,0,0,1,0,2,2,1,1,2,1,1,0
4148,31,24,125,116,88,40,51,153,121,159,82,124,83,6,16,1,0,0,2,2,0,1,1,0,1,2,1,1,2,1,1,0
4149,71,23,106,108,86,35,80,179,284,131,34,81,113,6,22,0,0,2,1,2,1,0,1,0,0,0,2,1,0,1,1,0
4150,21,18,117,83,52,38,105,180,140,133,96,137,107,5,18,0,2,2,2,2,0,0,1,0,2,1,0,0,0,1,0,0
4151,56,37,111,117,83,40,47,194,189,50,49,189,127,7,21,0,2,0,2,2,1,0,0,2,0,0,2,1,0,1,1,0
4152,89,29,96,119,87,40,98,181,109,188,80,111,118,6,22,1,0,2,3,1,0,0,0,2,2,0,2,1,3,0,0,0
4153,42,27,104,109,63,40,64,177,101,142,75,52,85,5,20,0,0,0,1,2,0,0,1,0,1,0,2,1,0,1,1,0
4154,49,39,100,95,113,38,44,148,294,137,96,55,99,9,15,0,0,2,1,1,0,1,0,0,1,0,2,1,3,0,0,0
4155,76,16,113,120,88,40,84,157,147,133,32,176,137,4,21,1,1,2,0,0,0,1,0,0,2,2,1,1,2,1,1,1
4156,80,16,156,90,103,36,41,154,141,94,52,161,140,4,12,0,2,1,2,0,0,0,0,2,1,2,1,1,4,1,1,0
4157,55,30,119,106,51,39,81,143,238,123,38,61,106,6,17,0,0,2,1,2,0,0,1,0,1,1,0,0,0,1,0,0
4158,70,23,159,93,92,38,77,173,239,117,40,102,138,4,13,1,1,2,3,1,0,0,1,1,1,0,2,1,0,1,1,1
4159,84,27,155,61,102,36,42,177,241,53,76,197,124,6,22,1,2,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0
4160,45,17,150,101,52,38,85,156,129,97,78,183,108,4,18,0,2,1,2,0,0,0,0,2,0,2,1,1,2,1,1,0
4161,20,23,167,62,90,38,61,146,159,146,73,133,126,4,17,1,2,2,2,1,0,1,0,2,1,0,2,1,0,1,1,0
4162,39,27,130,89,57,39,72,171,257,186,42,191,118,7,20,1,2,0,2,2,0,0,0,2,2,1,0,0,0,1,0,0
4163,55,35,171,67,112,37,71,194,137,139,37,233,132,10,17,0,2,1,1,1,1,0,1,2,0,1,0,0,1,0,0,0
4164,89,36,140,111,114,36,56,162,174,109,92,218,103,7,25,1,2,2,2,0,0,0,0,0,1,2,1,1,2,1,1,0
4165,89,16,133,66,53,38,95,159,164,101,51,98,126,4,17,1,0,2,2,0,0,1,1,0,2,0,2,1,3,0,0,0
4166,79,22,102,71,117,38,42,186,274,173,67,157,131,7,15,1,0,0,2,2,1,1,1,0,1,2,1,1,4,1,1,0
4167,74,23,179,117,59,35,109,195,138,135,56,242,108,6,23,0,2,0,1,2,0,0,0,2,2,1,0,0,1,0,0,0
4168,23,30,101,78,99,40,88,192,276,146,55,133,136,8,20,0,1,0,1,2,0,0,1,1,0,1,0,0,0,1,0,1
4169,49,16,171,85,72,37,94,141,172,97,52,153,131,6,14,1,2,1,0,2,0,0,1,0,1,1,0,0,1,0,0,0
4170,27,20,98,87,110,39,116,160,157,182,94,144,98,7,12,1,2,1,2,2,0,0,0,2,2,2,1,1,2,1,1,0
4171,20,36,174,74,96,36,70,151,206,76,76,80,100,5,22,1,1,2,2,2,0,0,0,2,1,1,0,0,1,0,0,1
4172,76,22,137,73,52,38,120,181,188,50,90,205,129,10,21,1,0,1,0,0,0,0,0,0,2,0,2,1,3,0,0,0
4173,66,40,138,107,66,40,60,196,116,100,75,61,108,4,19,0,0,1,0,0,0,0,0,2,2,0,2,1,0,1,1,0
4174,76,19,142,120,71,36,55,197,233,193,33,65,70,7,19,1,0,2,0,2,0,0,0,2,2,0,2,1,0,1,1,0
4175,48,23,145,118,65,39,56,188,242,148,60,212,125,9,22,1,0,2,2,0,0,0,0,2,1,0,2,1,3,0,0,0
4176,86,15,129,73,52,37,40,166,294,149,33,93,127,9,12,0,2,2,2,2,1,0,1,0,2,2,1,1,4,1,1,0
4177,79,23,113,62,101,35,111,189,194,152,58,117,90,10,20,0,2,1,1,1,0,0,0,2,2,2,1,1,2,1,1,0
4178,69,24,161,109,82,37,104,187,255,96,73,187,123,10,13,1,0,2,0,2,0,0,1,2,2,2,1,1,2,1,1,0
4179,58,37,122,88,91,35,105,149,300,200,32,52,140,7,17,0,2,0,2,0,0,0,1,2,2,1,0,0,1,0,0,0
4180,48,18,112,119,51,36,76,147,271,64,88,80,112,7,20,1,2,1,3,1,1,0,1,2,1,1,0,0,0,1,0,0
4181,39,17,166,113,88,37,63,200,245,86,82,229,123,9,24,1,2,0,2,2,0,1,0,2,1,2,1,1,4,1,1,0
4182,21,24,143,65,95,37,101,160,259,179,40,165,71,10,17,1,2,0,2,0,0,0,0,0,2,0,2,1,0,1,1,0
4183,30,29,142,108,97,37,60,199,296,125,35,242,83,6,18,1,0,0,2,1,0,0,0,2,2,0,2,1,3,0,0,0
4184,62,25,138,82,76,39,76,196,271,196,76,54,72,10,20,1,1,1,2,2,0,1,1,2,2,0,2,1,0,1,1,1
4185,59,28,167,87,64,36,74,161,169,81,36,54,83,4,16,1,2,2,0,1,0,0,0,2,0,2,1,1,2,1,1,0
4186,66,20,167,73,56,35,77,152,162,104,97,115,74,8,12,1,1,1,2,2,1,0,1,2,2,1,0,0,1,0,0,1
4187,37,26,169,73,106,37,92,187,157,148,30,64,108,9,20,1,0,0,2,2,0,0,0,0,0,2,1,1,2,1,1,0
4188,71,27,138,79,91,36,54,179,274,105,85,242,70,9,21,0,0,2,2,2,0,0,0,0,0,0,2,1,3,0,0,0
4189,53,31,149,72,58,40,81,151,225,78,72,198,112,9,25,1,2,0,2,1,0,0,0,0,0,0,2,1,3,0,0,0
